"p","t","y","e","d","i","expected_years_saved","expected_years_saved_L","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.4,3,5,0.7,0.7,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,564383.027426418,3348.26190926921
0.4,3,5,0.7,0.8,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,1290018.34840324,7653.17007832963
0.4,3,5,0.7,0.8,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,645009.174201621,3826.58503916481
0.4,3,5,0.7,0.9,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,1451270.64195365,8609.81633812083
0.4,3,5,0.7,0.9,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,168.56,0.784,725635.320976823,4304.90816906041
0.4,3,5,0.9,0.1,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,207324.37742195,1289.97248271497
0.4,3,5,0.9,0.1,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,103662.188710975,644.986241357484
0.4,3,5,0.9,0.2,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,414648.754843899,2579.94496542994
0.4,3,5,0.9,0.2,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,207324.37742195,1289.97248271497
0.4,3,5,0.9,0.3,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,621973.132265849,3869.9174481449
0.4,3,5,0.9,0.3,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,310986.566132924,1934.95872407245
0.4,3,5,0.9,0.4,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,829297.509687798,5159.88993085987
0.4,3,5,0.9,0.4,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,414648.754843899,2579.94496542994
0.4,3,5,0.9,0.5,1e+06,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,1036621.88710975,6449.86241357484
0.4,3,5,0.9,0.5,5e+05,2.30360419357722,2.30360419357722,3.16977946163044,160.72,0.784,518310.943554874,3224.93120678742
